Date : 2024-08-28 09:14:25
Directory : c:\Users\h\Downloads\App\wms_android
Total : 77 files,  10126 codes, 2650 comments, 986 blanks, all 13762 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| lib\SSFGDT04                                                                                       |          1 |         29 |          0 |          7 |         36 |
| lib\SSFGDT12                                                                                       |          4 |      1,034 |        117 |         53 |      1,204 |
| lib\SSFGDT17                                                                                       |          5 |      1,449 |          8 |        125 |      1,582 |
| lib\SSINDT01                                                                                       |         11 |      4,981 |      2,040 |        429 |      7,450 |
| linux                                                                                              |          5 |        106 |         33 |         44 |        183 |
| linux (Files)                                                                                      |          3 |         94 |         24 |         33 |        151 |
| linux\flutter                                                                                      |          2 |         12 |          9 |         11 |         32 |
| macos                                                                                              |          6 |        444 |          5 |         16 |        465 |
| macos\Flutter                                                                                      |          1 |          6 |          3 |          4 |         13 |
| macos\Runner                                                                                       |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                               |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                  |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                       |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                            |          1 |        343 |          0 |          1 |        344 |
| test                                                                                               |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                            |         10 |        439 |         94 |        143 |        676 |
| windows\flutter                                                                                    |          2 |         11 |          9 |         11 |         31 |
| windows\runner                                                                                     |          8 |        428 |         85 |        132 |        645 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                           | language        | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\h\Downloads\App\wms_android\README.md                                                     | Markdown        |         10 |          0 |          7 |         17 |
| c:\Users\h\Downloads\App\wms_android\analysis_options.yaml                                         | YAML            |          3 |         22 |          4 |         29 |
| c:\Users\h\Downloads\App\wms_android\android\app\build.gradle                                      | Gradle          |         44 |          6 |          9 |         59 |
| c:\Users\h\Downloads\App\wms_android\android\app\src\debug\AndroidManifest.xml                     | XML             |          3 |          4 |          1 |          8 |
| c:\Users\h\Downloads\App\wms_android\android\app\src\main\AndroidManifest.xml                      | XML             |         39 |         11 |          2 |         52 |
| c:\Users\h\Downloads\App\wms_android\android\app\src\main\res\drawable-v21\launch_background.xml   | XML             |          4 |          7 |          2 |         13 |
| c:\Users\h\Downloads\App\wms_android\android\app\src\main\res\drawable\launch_background.xml       | XML             |          4 |          7 |          2 |         13 |
| c:\Users\h\Downloads\App\wms_android\android\app\src\main\res\values-night\styles.xml              | XML             |          9 |          9 |          1 |         19 |
| c:\Users\h\Downloads\App\wms_android\android\app\src\main\res\values\styles.xml                    | XML             |          9 |          9 |          1 |         19 |
| c:\Users\h\Downloads\App\wms_android\android\app\src\profile\AndroidManifest.xml                   | XML             |          3 |          4 |          1 |          8 |
| c:\Users\h\Downloads\App\wms_android\android\build.gradle                                          | Gradle          |         16 |          0 |          3 |         19 |
| c:\Users\h\Downloads\App\wms_android\android\gradle.properties                                     | Java Properties |          3 |          0 |          1 |          4 |
| c:\Users\h\Downloads\App\wms_android\android\gradle\wrapper\gradle-wrapper.properties              | Java Properties |          7 |          0 |          1 |          8 |
| c:\Users\h\Downloads\App\wms_android\android\settings.gradle                                       | Gradle          |         21 |          0 |          5 |         26 |
| c:\Users\h\Downloads\App\wms_android\ios\RunnerTests\RunnerTests.swift                             | Swift           |          7 |          2 |          4 |         13 |
| c:\Users\h\Downloads\App\wms_android\ios\Runner\AppDelegate.swift                                  | Swift           |         12 |          0 |          2 |         14 |
| c:\Users\h\Downloads\App\wms_android\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON            |        122 |          0 |          1 |        123 |
| c:\Users\h\Downloads\App\wms_android\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON            |         23 |          0 |          1 |         24 |
| c:\Users\h\Downloads\App\wms_android\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown        |          3 |          0 |          2 |          5 |
| c:\Users\h\Downloads\App\wms_android\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML             |         36 |          1 |          1 |         38 |
| c:\Users\h\Downloads\App\wms_android\ios\Runner\Base.lproj\Main.storyboard                         | XML             |         25 |          1 |          1 |         27 |
| c:\Users\h\Downloads\App\wms_android\ios\Runner\Runner-Bridging-Header.h                           | C++             |          1 |          0 |          1 |          2 |
| c:\Users\h\Downloads\App\wms_android\lib\Global_Parameter.dart                                     | Dart            |          9 |          3 |          2 |         14 |
| c:\Users\h\Downloads\App\wms_android\lib\SSFGDT04\SSFGDT04_main.dart                               | Dart            |         29 |          0 |          7 |         36 |
| c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_card.dart                               | Dart            |        224 |         12 |         13 |        249 |
| c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_form.dart                               | Dart            |        418 |         32 |         18 |        468 |
| c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_main.dart                               | Dart            |        156 |         18 |         13 |        187 |
| c:\Users\h\Downloads\App\wms_android\lib\SSFGDT12\SSFGDT12_search.dart                             | Dart            |        236 |         55 |          9 |        300 |
| c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGD17_BARCODE.dart                             | Dart            |        172 |          0 |         14 |        186 |
| c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_CREATE.dart                             | Dart            |        498 |          6 |         38 |        542 |
| c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_FORM.dart                               | Dart            |        205 |          0 |         24 |        229 |
| c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_MAIN.dart                               | Dart            |        416 |          1 |         41 |        458 |
| c:\Users\h\Downloads\App\wms_android\lib\SSFGDT17\SSFGDT17_MENU.dart                               | Dart            |        158 |          1 |          8 |        167 |
| c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\CardTest.dart                                    | Dart            |          0 |        450 |         27 |        477 |
| c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_POPUP.dart                              | Dart            |        146 |          4 |          2 |        152 |
| c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_WARE.dart                               | Dart            |        156 |         18 |         13 |        187 |
| c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_barcode.dart                            | Dart            |        414 |         25 |         22 |        461 |
| c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_card.dart                               | Dart            |        543 |          8 |         37 |        588 |
| c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_card_main.dart                          | Dart            |        543 |          8 |         37 |        588 |
| c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_form.dart                               | Dart            |        806 |         11 |         53 |        870 |
| c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_grid.dart                               | Dart            |          0 |      1,463 |         70 |      1,533 |
| c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_grid_data.dart                          | Dart            |      1,252 |         13 |         78 |      1,343 |
| c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_main.dart                               | Dart            |        714 |         36 |         54 |        804 |
| c:\Users\h\Downloads\App\wms_android\lib\SSINDT01\SSINDT01_verify.dart                             | Dart            |        407 |          4 |         36 |        447 |
| c:\Users\h\Downloads\App\wms_android\lib\bottombar.dart                                            | Dart            |        130 |          0 |         11 |        141 |
| c:\Users\h\Downloads\App\wms_android\lib\custom_appbar.dart                                        | Dart            |         45 |         32 |          5 |         82 |
| c:\Users\h\Downloads\App\wms_android\lib\custom_drawer.dart                                        | Dart            |        218 |         28 |          3 |        249 |
| c:\Users\h\Downloads\App\wms_android\lib\data_api.dart                                             | Dart            |         49 |          3 |          7 |         59 |
| c:\Users\h\Downloads\App\wms_android\lib\login.dart                                                | Dart            |        264 |          3 |         15 |        282 |
| c:\Users\h\Downloads\App\wms_android\lib\main.dart                                                 | Dart            |        210 |          3 |         26 |        239 |
| c:\Users\h\Downloads\App\wms_android\lib\test_menu.dart                                            | Dart            |          0 |        161 |         12 |        173 |
| c:\Users\h\Downloads\App\wms_android\lib\test_menu_lv2.dart                                        | Dart            |        223 |         12 |         18 |        253 |
| c:\Users\h\Downloads\App\wms_android\linux\flutter\generated_plugin_registrant.cc                  | C++             |          7 |          4 |          5 |         16 |
| c:\Users\h\Downloads\App\wms_android\linux\flutter\generated_plugin_registrant.h                   | C++             |          5 |          5 |          6 |         16 |
| c:\Users\h\Downloads\App\wms_android\linux\main.cc                                                 | C++             |          5 |          0 |          2 |          7 |
| c:\Users\h\Downloads\App\wms_android\linux\my_application.cc                                       | C++             |         82 |         17 |         26 |        125 |
| c:\Users\h\Downloads\App\wms_android\linux\my_application.h                                        | C++             |          7 |          7 |          5 |         19 |
| c:\Users\h\Downloads\App\wms_android\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift           |          6 |          3 |          4 |         13 |
| c:\Users\h\Downloads\App\wms_android\macos\RunnerTests\RunnerTests.swift                           | Swift           |          7 |          2 |          4 |         13 |
| c:\Users\h\Downloads\App\wms_android\macos\Runner\AppDelegate.swift                                | Swift           |          8 |          0 |          2 |         10 |
| c:\Users\h\Downloads\App\wms_android\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON            |         68 |          0 |          1 |         69 |
| c:\Users\h\Downloads\App\wms_android\macos\Runner\Base.lproj\MainMenu.xib                          | XML             |        343 |          0 |          1 |        344 |
| c:\Users\h\Downloads\App\wms_android\macos\Runner\MainFlutterWindow.swift                          | Swift           |         12 |          0 |          4 |         16 |
| c:\Users\h\Downloads\App\wms_android\pubspec.yaml                                                  | YAML            |         24 |          0 |          4 |         28 |
| c:\Users\h\Downloads\App\wms_android\test\widget_test.dart                                         | Dart            |         14 |         10 |          7 |         31 |
| c:\Users\h\Downloads\App\wms_android\web\index.html                                                | HTML            |         19 |         15 |          5 |         39 |
| c:\Users\h\Downloads\App\wms_android\web\manifest.json                                             | JSON            |         35 |          0 |          1 |         36 |
| c:\Users\h\Downloads\App\wms_android\windows\flutter\generated_plugin_registrant.cc                | C++             |          6 |          4 |          5 |         15 |
| c:\Users\h\Downloads\App\wms_android\windows\flutter\generated_plugin_registrant.h                 | C++             |          5 |          5 |          6 |         16 |
| c:\Users\h\Downloads\App\wms_android\windows\runner\flutter_window.cpp                             | C++             |         49 |          7 |         16 |         72 |
| c:\Users\h\Downloads\App\wms_android\windows\runner\flutter_window.h                               | C++             |         20 |          5 |          9 |         34 |
| c:\Users\h\Downloads\App\wms_android\windows\runner\main.cpp                                       | C++             |         30 |          4 |         10 |         44 |
| c:\Users\h\Downloads\App\wms_android\windows\runner\resource.h                                     | C++             |          9 |          6 |          2 |         17 |
| c:\Users\h\Downloads\App\wms_android\windows\runner\utils.cpp                                      | C++             |         54 |          2 |         10 |         66 |
| c:\Users\h\Downloads\App\wms_android\windows\runner\utils.h                                        | C++             |          8 |          6 |          6 |         20 |
| c:\Users\h\Downloads\App\wms_android\windows\runner\win32_window.cpp                               | C++             |        210 |         24 |         55 |        289 |
| c:\Users\h\Downloads\App\wms_android\windows\runner\win32_window.h                                 | C++             |         48 |         31 |         24 |        103 |
| Total                                                                                              |                 |     10,126 |      2,650 |        986 |     13,762 |
+----------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
